Call Type,App,Category,Name,Direction,Time,Duration,Date,Day
Phone,iPhone Regular,Family,JQ,Outgoing,8:30,1 second,February 3,Monday
Phone,iPhone Regular,Family,JQ,Incoming,8:45,6 minutes,February 3,Monday
Phone,iPhone Regular,Family,JQ,Outgoing,12:29,5 minutes,February 3,Monday
Phone,iPhone Regular,Family,JQ,Outgoing,12:45,28 seconds,February 3,Monday
Phone,iPhone Regular,Family,JQ,Outgoing,13:00,42 seconds,February 3,Monday
Phone,iPhone Regular,Family,JQ,Outgoing,13:06,21 minutes,February 3,Monday
Phone,iPhone Regular,Family,JQ,Outgoing,13:30,1 minute,February 3,Monday
Phone,iPhone Regular,Family,SQ,Canceled,19:45,NA,February 3,Monday
Phone,iPhone Regular,Family,SQ,Outgoing,11:07,4 seconds,February 4,Tuesday
Phone,iPhone Regular,Family,SQ,Incoming,11:08,9 minutes,February 4,Tuesday
Phone,iPhone Regular,Family,SQ,Outgoing,13:21,2 minutes,February 4,Tuesday
Phone,iPhone Regular,Family,JQ,Outgoing,17:26,7 minutes,February 4,Tuesday
Phone,iPhone Regular,Family,SQ,Outgoing,18:26,44 seconds,February 4,Tuesday
Phone,iPhone Regular,Family,JQ,Outgoing,12:15,11 minutes,February 5,Wednesday
Phone,iPhone Regular,Family,JQ,Outgoing,14:12,2 minutes,February 5,Wednesday
Phone,iPhone Regular,Family,JQ,Outgoing,15:55,4 minutes,February 5,Wednesday
Phone,iPhone Regular,Family,JQ,Incoming,16:18,30 seconds,February 5,Wednesday
Phone,iPhone Regular,Family,SQ,Incoming,7:27,4 minutes,February 6,Thursday
Video,iPhone Regular,Family,SQ,Missed,21:07,NA,February 6,Thursday
Phone,iPhone Regular,Family,JQ,Outgoing,13:57,7 minutes,February 7,Friday
Phone,iPhone Regular,Family,SQ,Incoming,14:05,11 minutes,February 7,Friday
Phone,iPhone Regular,Family,JQ,Outgoing,16:01,3 minutes,February 7,Friday
Phone,iPhone Regular,Family,SQ,Incoming,11:01,5 minutes,February 8,Saturday
Phone,iPhone Regular,Family,SQ,Outgoing,12:35,1 second,February 8,Saturday
Phone,iPhone Regular,Family,TG,Outgoing,12:36,1 minute,February 8,Saturday
Phone,iPhone Regular,Family,JQ,Outgoing,12:38,2 minutes,February 8,Saturday
Phone,iPhone Regular,Family,SQ,Incoming,12:46,2 minutes,February 8,Saturday
Phone,iPhone Regular,Business,Wainwright,Outgoing,15:41,1 minute,February 8,Saturday
Phone,iPhone Regular,Friend,MH,Incoming,18:39,1 minute,February 8,Saturday
Phone,iPhone Regular,Family,JQ,Outgoing,22:18,2 minutes,February 8,Saturday
Phone,iPhone Regular,Family,JQ,Incoming,9:16,24 seconds,February 9,Sunday
Phone,iPhone Regular,Family,PatQ,Incoming,9:22,1 minute,February 9,Sunday
Phone,iPhone Regular,Family,PatQ,Incoming,9:32,22 seconds,February 9,Sunday
Phone,iPhone Regular,Family,JQ,Outgoing,12:03,24 seconds,February 9,Sunday
Phone,iPhone Regular,Friend,DL,Incoming,15:44,8 minutes,February 9,Sunday
Phone,iPhone Regular,Friend,MH,Incoming,20:27,2 minutes,February 9,Sunday
Phone,iPhone Regular,Friend,MH,Incoming,20:31,9 minutes,February 9,Sunday
Video,iPhone Regular,Family,SQ,Incoming,22:07,56 minutes,February 9,Sunday
